"﻿Time,Value"
"1,189"
"2,188"
"3,189"
"4,189"
"5,189"
"6,188"
"7,188"
"8,188"
"9,187"
"10,186"
"11,186"
"12,186"
"13,186"
"14,186"
"15,186"
"16,185"
"17,185"
"18,184"
"19,184"
"20,184"
"21,184"
"22,184"
"23,183"
"24,183"
"25,183"
"26,182"
"27,182"
"28,183"
"29,183"
"30,183"
"31,183"
"32,182"
"33,182"
"34,181"
"35,182"
"36,182"
"37,182"
"38,182"
"39,181"
"40,179"
"41,177"
"42,174"
"43,170"
"44,166"
"45,164"
"46,162"
"47,161"
"48,158"
"49,157"
"50,155"
"51,155"
"52,153"
"53,152"
"54,151"
"55,152"
"56,151"
"57,150"
"58,148"
"59,149"
"60,147"
"61,147"
"62,148"
"63,147"
"64,147"
"65,146"
"66,146"
"67,145"
"68,144"
"69,145"
"70,145"
"71,145"
"72,144"
"73,144"
"74,144"
"75,142"
"76,142"
"77,143"
"78,142"
"79,143"
"80,143"
"81,142"
"82,142"
"83,142"
"84,141"
"85,142"
"86,141"
"87,142"
"88,141"
"89,141"
"90,140"
"91,141"
"92,140"
"93,140"
"94,139"
"95,140"
"96,139"
"97,140"
"98,139"
"99,140"
"100,139"
"101,139"
"102,138"
"103,138"
"104,138"
"105,138"
"106,138"
"107,138"
"108,137"
"109,138"
"110,138"
"111,141"
"112,144"
"113,148"
"114,152"
"115,158"
"116,161"
"117,166"
"118,172"
"119,176"
"120,181"
"121,185"
"122,187"
"123,190"
"124,193"
"125,195"
"126,197"
"127,199"
"128,201"
"129,203"
"130,205"
"131,207"
"132,208"
"133,209"
"134,210"
"135,211"
"136,212"
"137,214"
"138,215"
"139,216"
"140,217"
"141,217"
"142,218"
"143,218"
"144,220"
"145,224"
"146,228"
"147,233"
"148,237"
"149,240"
"150,243"
"151,246"
"152,248"
"153,251"
"154,254"
"155,257"
"156,258"
"157,260"
"158,261"
"159,263"
"160,264"
"161,265"
"162,266"
"163,267"
"164,267"
"165,268"
"166,269"
"167,269"
"168,269"
"169,270"
"170,270"
"171,271"
"172,271"
"173,272"
"174,272"
"175,273"
"176,272"
"177,272"
"178,271"
"179,269"
"180,263"
"181,255"
"182,246"
"183,239"
"184,232"
"185,226"
"186,221"
"187,217"
"188,212"
"189,209"
"190,205"
"191,201"
"192,198"
"193,196"
"194,194"
"195,192"
"196,190"
"197,189"
"198,187"
"199,181"
"200,167"
"201,184"
"202,182"
"203,182"
"204,181"
"205,180"
"206,180"
"207,179"
"208,178"
"209,177"
"210,176"
"211,176"
"212,176"
"213,176"
"214,175"
"215,174"
"216,173"
"217,172"
"218,171"
"219,170"
"220,170"
"221,170"
"222,169"
"223,169"
"224,168"
"225,168"
"226,166"
"227,167"
"228,166"
"229,167"
"230,166"
"231,166"
"232,165"
"233,165"
"234,164"
"235,164"
"236,164"
"237,164"
"238,164"
"239,163"
"240,163"
"241,163"
"242,162"
"243,162"
"244,162"
"245,162"
"246,162"
"247,161"
"248,163"
"249,1"
"250,179"
"251,189"
"252,197"
"253,204"
"254,212"
"255,219"
"256,227"
"257,234"
"258,240"
"259,246"
"260,250"
"261,256"
"262,260"
"263,264"
"264,268"
"265,272"
"266,274"
"267,276"
"268,278"
"269,278"
"270,280"
"271,283"
"272,284"
"273,285"
"274,285"
"275,286"
"276,286"
"277,287"
"278,288"
"279,289"
"280,289"
"281,289"
"282,289"
"283,290"
"284,292"
"285,294"
"286,296"
"287,297"
"288,298"
"289,299"
"290,300"
"291,300"
"292,302"
"293,302"
"294,302"
"295,303"
"296,303"
"297,304"
"298,304"
"299,304"
"300,304"
"301,304"
"302,304"
"303,304"
"304,304"
"305,305"
"306,305"
"307,305"
"308,304"
"309,304"
"310,304"
"311,304"
"312,305"
"313,305"
"314,305"
"315,304"
"316,305"
"317,304"
"318,298"
"319,289"
"320,279"
"321,268"
"322,258"
"323,250"
"324,242"
"325,235"
"326,228"
"327,222"
"328,217"
"329,212"
"330,208"
"331,205"
"332,200"
"333,198"
"334,195"
"335,193"
"336,190"
"337,188"
"338,187"
"339,186"
"340,184"
"341,183"
"342,181"
"343,180"
"344,178"
"345,178"
"346,177"
"347,176"
"348,176"
"349,174"
"350,174"
"351,173"
"352,171"
"353,169"
"354,167"
"355,165"
"356,161"
"357,158"
"358,157"
"359,153"
"360,151"
"361,150"
"362,148"
"363,146"
"364,146"
"365,144"
"366,142"
"367,141"
"368,140"
"369,140"
"370,139"
"371,138"
"372,137"
"373,137"
"374,135"
"375,136"
"376,134"
"377,134"
"378,134"
"379,133"
"380,133"
"381,133"
"382,132"
"383,132"
"384,130"
"385,131"
"386,131"
"387,132"
"388,136"
"389,141"
"390,145"
"391,150"
"392,153"
"393,157"
"394,160"
"395,164"
"396,167"
"397,170"
"398,172"
"399,175"
"400,176"
"401,178"
"402,180"
"403,183"
"404,184"
"405,187"
"406,188"
"407,190"
"408,190"
"409,192"
"410,193"
"411,194"
"412,196"
"413,197"
"414,197"
"415,198"
"416,199"
"417,200"
"418,200"
"419,200"
"420,201"
"421,203"
"422,204"
"423,206"
"424,208"
"425,209"
"426,211"
"427,213"
"428,214"
"429,216"
"430,218"
"431,218"
"432,220"
"433,220"
"434,221"
"435,221"
"436,222"
"437,223"
"438,223"
"439,224"
"440,224"
"441,224"
"442,224"
"443,224"
"444,225"
"445,226"
"446,225"
"447,225"
"448,225"
"449,224"
"450,224"
"451,225"
"452,224"
"453,225"
"454,225"
"455,224"
"456,224"
"457,222"
"458,218"
"459,215"
"460,211"
"461,209"
"462,206"
"463,204"
"464,202"
"465,200"
"466,197"
"467,196"
"468,193"
"469,192"
"470,190"
"471,191"
"472,190"
"473,188"
"474,187"
"475,186"
"476,184"
"477,184"
"478,184"
"479,184"
"480,183"
"481,183"
"482,182"
"483,181"
"484,180"
"485,180"
"486,180"
"487,181"
"488,179"
"489,180"
"490,179"
"491,179"
"492,180"
"493,180"
"494,180"
"495,181"
"496,182"
"497,183"
"498,183"
"499,184"
"500,184"
"501,184"
"502,184"
"503,184"
"504,185"
"505,186"
"506,185"
"507,186"
"508,186"
"509,186"
"510,186"
"511,185"
"512,186"
"513,187"
"514,187"
"515,187"
"516,186"
"517,187"
"518,186"
"519,187"
"520,187"
"521,187"
"522,188"
"523,188"
"524,187"
"525,187"
"526,188"
"527,189"
"528,192"
"529,194"
"530,196"
"531,197"
"532,199"
"533,200"
"534,201"
"535,203"
"536,204"
"537,205"
"538,206"
"539,206"
"540,208"
"541,209"
"542,208"
"543,209"
"544,209"
"545,210"
"546,210"
"547,211"
"548,212"
"549,213"
"550,212"
"551,212"
"552,212"
"553,213"
"554,213"
"555,214"
"556,214"
"557,215"
"558,214"
"559,213"
"560,214"
"561,213"
"562,213"
"563,212"
"564,212"
"565,211"
"566,209"
"567,209"
"568,208"
"569,207"
"570,207"
"571,207"
"572,206"
"573,206"
"574,205"
"575,204"
"576,204"
"577,204"
"578,204"
"579,204"
"580,204"
"581,204"
"582,204"
"583,203"
"584,204"
"585,203"
"586,203"
"587,203"
"588,203"
"589,203"
"590,203"
"591,203"
"592,203"
"593,202"
"594,202"
"595,203"
"596,204"
"597,205"
"598,206"
"599,206"
"600,207"
"601,207"
"602,207"
"603,208"
"604,209"
"605,210"
"606,210"
"607,209"
"608,210"
"609,210"
"610,211"
"611,211"
"612,212"
"613,211"
"614,212"
"615,211"
"616,212"
"617,212"
"618,212"
"619,212"
"620,213"
"621,213"
"622,213"
"623,212"
"624,213"
"625,213"
"626,213"
"627,213"
"628,214"
"629,214"
"630,214"
"631,214"
"632,216"
"633,217"
"634,218"
"635,217"
"636,219"
"637,220"
"638,220"
"639,221"
"640,222"
"641,222"
"642,223"
"643,222"
"644,223"
"645,223"
"646,225"
"647,224"
"648,225"
"649,225"
"650,225"
"651,225"
"652,225"
"653,226"
"654,226"
"655,226"
"656,226"
"657,226"
"658,226"
"659,226"
"660,227"
"661,227"
"662,227"
"663,227"
"664,227"
"665,223"
"666,217"
"667,209"
"668,202"
"669,194"
"670,188"
"671,182"
"672,178"
"673,173"
"674,168"
"675,163"
"676,159"
"677,156"
"678,153"
"679,151"
"680,149"
"681,147"
"682,145"
"683,142"
"684,141"
"685,139"
"686,137"
"687,137"
"688,136"
"689,134"
"690,134"
"691,133"
"692,131"
"693,130"
"694,130"
"695,131"
"696,130"
"697,130"
"698,129"
"699,128"
"700,124"
"701,120"
"702,116"
"703,111"
"704,108"
"705,103"
"706,99"
"707,97"
"708,93"
"709,90"
"710,87"
"711,85"
"712,84"
"713,81"
"714,81"
"715,78"
"716,76"
"717,75"
"718,74"
"719,72"
"720,72"
"721,70"
"722,70"
"723,69"
"724,68"
"725,67"
"726,65"
"727,64"
"728,66"
"729,65"
"730,65"
"731,64"
"732,64"
"733,63"
"734,63"
"735,62"
"736,63"
"737,64"
"738,65"
"739,66"
"740,67"
"741,68"
"742,69"
"743,70"
"744,71"
"745,73"
"746,74"
"747,75"
"748,77"
"749,77"
"750,79"
"751,79"
"752,79"
"753,81"
"754,81"
"755,82"
"756,84"
"757,84"
"758,84"
"759,84"
"760,84"
"761,85"
"762,87"
"763,86"
"764,88"
"765,87"
"766,87"
"767,87"
"768,88"
"769,89"
"770,94"
"771,98"
"772,102"
"773,106"
"774,111"
"775,113"
"776,117"
"777,121"
"778,124"
"779,127"
"780,131"
"781,132"
"782,133"
"783,136"
"784,138"
"785,140"
"786,141"
"787,143"
"788,145"
"789,146"
"790,147"
"791,148"
"792,149"
"793,149"
"794,151"
"795,151"
"796,153"
"797,153"
"798,154"
"799,154"
"800,155"
"801,155"
"802,155"
"803,156"
"804,154"
"805,150"
"806,146"
"807,141"
"808,137"
"809,132"
"810,129"
"811,125"
"812,122"
"813,120"
"814,0"
"815,0"
"816,0"
"817,0"
"818,20"
